Year,Model,CPU quant,#cores per CPU,DRAM,SSD quant,size per SSD,Embodied Carbon ,TEC,Operational Carbon,Transportation,EOL carbon,Total carbon,std,Mainboard carbon,SSD carbon,Daughterboard carbon,Enclose/Fan/PSU carbon
11/1/2022,Proliant DL360 gen11 base,1,12,64,2,480,948,1535,3611,149,15,4723,296,,,,
11/1/2022,Proliant DL360 gen11 mainstream,2,16,512,6,800,2130,3115,7327,168,16,9641,807,,,,
11/1/2022,Proliant DL360 gen11 performance,2,40,1024,10,1600,3432,5322,12518,188,18,16156,1076,,,,
11/1/2017,ProLiant DL380 gen10 base,1,12,64,2,480,848,801,1979,148,14,2989,252,,,,
11/1/2017,ProLiant DL380 gen10 main stream,2,16,256,6,800,1529,1605,3931,179,18,5657,432,,,,
11/1/2017,ProLiant DL380 gen10 performance,2,24,768,24,1600,1997,3633,8988,210,21,11216,675,,,,
4/1/2021,ProLiant DL380 gen10 plus base,1,8,64,2,480,932,1088,2558,156,16,3662,236,,,,
4/1/2021,ProLiant DL380 gen10 plus mainstream,2,16,512,6,800,2181,2845,6691,132,19,9023,819,,,,
4/1/2021,ProLiant DL380 gen10 plus performance,2,32,1024,24,1600,3880,4733,11132,237,23,15272,1675,,,,
11/1/2017,ProLiant DL385,2,,64,4,2400,685.4,2044.9,4620,33.57,21.2,5360.17,2550,377,73.2,182,53.2
11/1/2017,ProLiant DL325,1,,64,1,,650.3,1291.8,7280,35.09,13.2,7978.59,4390,413,18.3,138,81
11/1/2017,ProLiant ML350,1,,16,1,1000,510.5,1560.6,8900,58.59,25.2,9494.29,5240,253,18.3,111.2,53.5
11/1/2017,ProLiant DL560,4,,375,4,,1142.8,3231.9,7330,39.51,28.8,8541.11,4020,938,72.1,80.8,51.9
4/1/2019,ProLiant ML30,1,,8,1,,445.8,,2290,50.4,18.1,2810,1590,166,18.2,125,136.6
12/1/2020,ProLiant ML110,1,,16,1,,503.6,684.9,3880,49.5,19.9,4450,2300,253,18.3,122,110.3
,ProLiant DL180,1,,16,1,,458.2,658.9,3700,31.3,15.1,4210,2240,249,18.3,127,63.9
,ProLiant XL230k,2,,32,1,,942.5,1453.3,8860,97.7,27.7,9930,5120,245,18.5,140,539
,ProLiant DL160,1,,16,1,,469.3,563.5,3190,30,13.7,3710,1910,252,18.4,125,73.9
10/1/2020,ProLiant DL20,1,,16,1,,423,806.3,3690,28.1,11.6,4160,2200,203,18.2,128,74.2
